Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
1767,Goodwill Independent Study,https://www.schooldigger.com/go/CA/schools/3697214284/school.aspx,Victor Valley Union High,https://www.schooldigger.com/go/CA/district/36972/search.aspx,16350 Mojave Dr.,Victorville,https://www.schooldigger.com/go/CA/city/Victorville/search.aspx,92395,San Bernardino County,(760) 955-3440,7,12,Yes,No,No,No,111,0.5,222.00,0.86,0.25,0.01,0.01,0.56,0.00,0.07,0.10,14.6
1768,Matrix for Success Academy,https://www.schooldigger.com/go/CA/schools/0239614253/school.aspx,Matrix for Success Academy District,https://www.schooldigger.com/go/CA/district/02396/search.aspx,1010 E. 34th St.,Los Angeles,https://www.schooldigger.com/go/CA/city/Los+Angeles/search.aspx,90011,Los Angeles County,(323) 897-5971,9,12,Yes,Yes,No,No,26,6,4.30,0.89,0.08,0.00,0.00,0.92,0.00,0.00,0.00,14.6
1769,Mojave River Academy - Oro Grande,https://www.schooldigger.com/go/CA/schools/0220914262/school.aspx,Mojave River Academy - Oro Grande District,https://www.schooldigger.com/go/CA/district/02209/search.aspx,12384 Palmdale Rd.,Victorville,https://www.schooldigger.com/go/CA/city/Victorville/search.aspx,92392,San Bernardino County,(760) 245-3222,KG,12,(n/a),Yes,No,No,552,22.4,24.60,0.89,0.09,0.00,0.02,0.59,0.01,0.04,0.25,14.5
1770,Plaza Robles Continuation High,https://www.schooldigger.com/go/CA/schools/2223002776/school.aspx,Lodi Unified,https://www.schooldigger.com/go/CA/district/22230/search.aspx,9434 Thornton Rd.,Stockton,https://www.schooldigger.com/go/CA/city/Stockton/search.aspx,95209,San Joaquin County,(209) 953-8068,9,12,No,No,No,No,154,10.8,14.20,0.65,0.24,0.01,0.23,0.35,0.02,0.05,0.10,14.5
1771,Metropolitan Continuation,https://www.schooldigger.com/go/CA/schools/2271003181/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,727 S. Wilson St.,Los Angeles,https://www.schooldigger.com/go/CA/city/Los+Angeles/search.aspx,90021,Los Angeles County,(213) 623-4272,9,12,Yes,No,No,No,58,4,14.50,0.95,0.05,0.00,0.00,0.95,0.00,0.00,0.00,14.5
1772,Augustus F. Hawkins High B Community Health Advocates,https://www.schooldigger.com/go/CA/schools/2271013095/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,825 W. 60th St.,Los Angeles,https://www.schooldigger.com/go/CA/city/Los+Angeles/search.aspx,90044,Los Angeles County,(323) 789-1282,9,12,Yes,No,No,No,406,25.1,16.10,0.91,0.11,0.00,0.00,0.86,0.00,0.01,0.02,14.5
1773,Creekside High,https://www.schooldigger.com/go/CA/schools/8450007063/school.aspx,Irvine Unified,https://www.schooldigger.com/go/CA/district/84500/search.aspx,3387 Barranca Pkwy.,Irvine,https://www.schooldigger.com/go/CA/city/Irvine/search.aspx,92606,Orange County,(949) 936-7400,9,12,No,No,No,No,103,8.9,11.40,0.60,0.08,0.00,0.10,0.37,0.00,0.05,0.41,14.5
1774,Come Back Kids,https://www.schooldigger.com/go/CA/schools/9102613694/school.aspx,Riverside County Office of Education,https://www.schooldigger.com/go/CA/district/91026/search.aspx,3939 13th St.,Riverside,https://www.schooldigger.com/go/CA/city/Riverside/search.aspx,92501,Riverside County,(951) 826-6461,9,12,No,Yes,No,No,581,27,21.50,0.87,0.08,0.01,0.02,0.74,0.00,0.02,0.14,14.4
1775,Carter G. Woodson Public Charter,https://www.schooldigger.com/go/CA/schools/0238308697/school.aspx,Carter G. Woodson Public Charter District,https://www.schooldigger.com/go/CA/district/02383/search.aspx,3333 N. Bond Ave.,Fresno,https://www.schooldigger.com/go/CA/city/Fresno/search.aspx,93726,Fresno County,(559) 229-3529,7,12,Yes,Yes,No,No,430,18.1,23.70,0.97,0.15,0.01,0.01,0.74,0.00,0.01,0.08,14.4
1776,Access County Community,https://www.schooldigger.com/go/CA/schools/9102410567/school.aspx,Orange County Department of Education,https://www.schooldigger.com/go/CA/district/91024/search.aspx,200 Kalmus Dr.,Costa Mesa,https://www.schooldigger.com/go/CA/city/Costa+Mesa/search.aspx,92628,Orange County,(714) 966-4012,KG,12,No,No,No,No,1566,75,20.80,0.85,0.02,0.01,0.02,0.77,0.01,0.04,0.13,14.4
1777,Daily (Allan F.) High (Continuation),https://www.schooldigger.com/go/CA/schools/1524001924/school.aspx,Glendale Unified,https://www.schooldigger.com/go/CA/district/15240/search.aspx,220 N. Kenwood,Glendale,https://www.schooldigger.com/go/CA/city/Glendale/search.aspx,91206,Los Angeles County,(818) 247-4805,9,12,Yes,No,No,No,163,15.3,10.60,0.79,0.00,0.00,0.06,0.52,0.00,0.01,0.41,14.3
1778,Rancho Learning Center (Alternative),https://www.schooldigger.com/go/CA/schools/0297009302/school.aspx,Arcadia Unified,https://www.schooldigger.com/go/CA/district/02970/search.aspx,150 S. Third Ave.,Arcadia,https://www.schooldigger.com/go/CA/city/Arcadia/search.aspx,91006,Los Angeles County,(626) 821-6629,1,12,No,No,No,No,87,4,21.20,0.29,0.05,0.01,0.46,0.21,0.00,0.01,0.26,14.2
1779,Eureka Community,https://www.schooldigger.com/go/CA/schools/9100910794/school.aspx,Humboldt County Office of Education,https://www.schooldigger.com/go/CA/district/91009/search.aspx,1820 Sixth St.,Eureka,https://www.schooldigger.com/go/CA/city/Eureka/search.aspx,95501,Humboldt County,(707) 445-7108,7,12,Yes,No,No,No,80,2,40.00,1.00,0.06,0.13,0.00,0.08,0.00,0.16,0.58,14.2
1780,Mountain View High,https://www.schooldigger.com/go/CA/schools/3444005692/school.aspx,San Jacinto Unified,https://www.schooldigger.com/go/CA/district/34440/search.aspx,1000 Ramona Blvd.,San Jacinto,https://www.schooldigger.com/go/CA/city/San+Jacinto/search.aspx,92582,Riverside County,(951) 487-7710,9,12,Yes,No,No,No,250,11,22.70,0.79,0.12,0.02,0.00,0.73,0.00,0.03,0.09,14.2
1781,Oak View High School & Education Center,https://www.schooldigger.com/go/CA/schools/4356011216/school.aspx,Yucaipa-Calimesa Joint Unified,https://www.schooldigger.com/go/CA/district/43560/search.aspx,12358 Sixth St.,Yucaipa,https://www.schooldigger.com/go/CA/city/Yucaipa/search.aspx,92399,San Bernardino County,(909) 797-7931,7,12,Yes,No,No,No,82,7.2,11.30,0.92,0.05,0.01,0.01,0.62,0.00,0.01,0.29,14.2
1782,Rare Earth High (Continuation),https://www.schooldigger.com/go/CA/schools/3762006372/school.aspx,Southern Kern Unified,https://www.schooldigger.com/go/CA/district/37620/search.aspx,2601 Rosamond Blvd.,Rosamond,https://www.schooldigger.com/go/CA/city/Rosamond/search.aspx,93560,Kern County,(661) 256-5090,7,12,No,No,No,No,49,3,16.00,0.71,0.12,0.00,0.00,0.51,0.00,0.04,0.33,14.2
1783,Salisbury High (Continuation),https://www.schooldigger.com/go/CA/schools/3201004924/school.aspx,Red Bluff Joint Union High,https://www.schooldigger.com/go/CA/district/32010/search.aspx,1050 Kimball Rd.,Red Bluff,https://www.schooldigger.com/go/CA/city/Red+Bluff/search.aspx,96080,Tehama County,(530) 529-8766,9,12,No,No,No,No,110,4.2,26.10,0.88,0.03,0.05,0.00,0.40,0.00,0.09,0.44,14.1
1784,Bravo Lake High,https://www.schooldigger.com/go/CA/schools/0141806997/school.aspx,Woodlake Unified,https://www.schooldigger.com/go/CA/district/01418/search.aspx,1435 N. Irma St.,Visalia,https://www.schooldigger.com/go/CA/city/Visalia/search.aspx,93292,Tulare County,(559) 564-7414,9,12,Yes,No,No,No,22,1.6,13.70,0.86,0.00,0.00,0.00,0.96,0.00,0.00,0.05,14.1
1785,The Education Corps,https://www.schooldigger.com/go/CA/schools/0187313673/school.aspx,The Education Corps District,https://www.schooldigger.com/go/CA/district/01873/search.aspx,3635 Atlantic Ave.,Long Beach,https://www.schooldigger.com/go/CA/city/Long+Beach/search.aspx,90807,Los Angeles County,(909) 285-1111,9,12,Yes,Yes,No,No,235,8.1,29.00,0.92,0.10,0.00,0.00,0.86,0.00,0.03,0.00,14.1
1786,Paloma Creek High,https://www.schooldigger.com/go/CA/schools/0330006562/school.aspx,Atascadero Unified,https://www.schooldigger.com/go/CA/district/03300/search.aspx,10801 El Camino Real,Atascadero,https://www.schooldigger.com/go/CA/city/Atascadero/search.aspx,93422,San Luis Obispo County,(805) 462-4350,9,12,Yes,No,No,No,72,3,23.30,0.60,0.00,0.00,0.00,0.36,0.00,0.01,0.63,14.1
1787,Opportunity Youth Academy,https://www.schooldigger.com/go/CA/schools/9103514054/school.aspx,Santa Clara County Office of Education,https://www.schooldigger.com/go/CA/district/91035/search.aspx,1290 Ridder Park Dr.,San Jose,https://www.schooldigger.com/go/CA/city/San+Jose/search.aspx,95131,Santa Clara County,(844) 692-4888,9,12,Yes,Yes,No,No,291,9,32.30,0.81,0.05,0.01,0.01,0.87,0.01,0.01,0.05,14.1
1788,Central High (Continuation),https://www.schooldigger.com/go/CA/schools/2583003873/school.aspx,Morgan Hill Unified,https://www.schooldigger.com/go/CA/district/25830/search.aspx,85 Tilton Ave.,Morgan Hill,https://www.schooldigger.com/go/CA/city/Morgan+Hill/search.aspx,95037,Santa Clara County,(408) 201-6300,10,12,Yes,No,No,No,137,9,15.20,0.45,0.02,0.02,0.02,0.67,0.01,0.04,0.23,14.1
1789,Big Picture Educational Academy,https://www.schooldigger.com/go/CA/schools/0182912427/school.aspx,Big Picture Educational Academy District,https://www.schooldigger.com/go/CA/district/01829/search.aspx,1207 S. Trinity St.,Fresno,https://www.schooldigger.com/go/CA/city/Fresno/search.aspx,93706,Fresno County,(559) 420-1234,KG,12,Yes,Yes,No,No,376,22,17.00,0.71,0.07,0.01,0.02,0.76,0.00,0.04,0.10,14
1790,Central High,https://www.schooldigger.com/go/CA/schools/2271002908/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,716 E. 14th St.,Los Angeles,https://www.schooldigger.com/go/CA/city/Los+Angeles/search.aspx,90021,Los Angeles County,(213) 745-1901,9,12,Yes,No,No,No,559,27,20.70,0.86,0.10,0.01,0.01,0.85,0.00,0.00,0.03,14
1791,Leadership Military Academy,https://www.schooldigger.com/go/CA/schools/0164012986/school.aspx,Leadership Military Academy District,https://www.schooldigger.com/go/CA/district/01640/search.aspx,13730 Perris Blvd.,Moreno Valley,https://www.schooldigger.com/go/CA/city/Moreno+Valley/search.aspx,92553,Riverside County,(951) 421-8450,9,12,Yes,Yes,No,No,278,13.8,20.00,0.87,0.27,0.00,0.00,0.62,0.00,0.03,0.08,14
1792,Harvest High,https://www.schooldigger.com/go/CA/schools/3288013703/school.aspx,Ripon Unified,https://www.schooldigger.com/go/CA/district/32880/search.aspx,729 W. Main St.,Ripon,https://www.schooldigger.com/go/CA/city/Ripon/search.aspx,95366,San Joaquin County,(209) 599-5009,9,12,Yes,No,No,No,26,2.1,12.30,0.42,0.00,0.00,0.00,0.62,0.00,0.00,0.39,14
1793,Orangewood High (Continuation),https://www.schooldigger.com/go/CA/schools/3207004945/school.aspx,Redlands Unified,https://www.schooldigger.com/go/CA/district/32070/search.aspx,515 Texas St.,Redlands,https://www.schooldigger.com/go/CA/city/Redlands/search.aspx,92374,San Bernardino County,(909) 307-5380,9,12,Yes,No,No,No,208,18.5,11.20,0.89,0.07,0.01,0.02,0.71,0.01,0.03,0.16,14
1794,Fair View High (Continuation),https://www.schooldigger.com/go/CA/schools/0837000818/school.aspx,Chico Unified,https://www.schooldigger.com/go/CA/district/08370/search.aspx,290 E. Ave.,Chico,https://www.schooldigger.com/go/CA/city/Chico/search.aspx,95926,Butte County,(530) 891-3092,9,12,Yes,No,No,No,165,11.1,14.80,0.79,0.03,0.05,0.01,0.36,0.01,0.07,0.48,14
1795,Orange County Special Education,https://www.schooldigger.com/go/CA/schools/9102407991/school.aspx,Orange County Department of Education,https://www.schooldigger.com/go/CA/district/91024/search.aspx,200 Kalmus Dr.,Costa Mesa,https://www.schooldigger.com/go/CA/city/Costa+Mesa/search.aspx,92628,Orange County,(714) 966-4130,KG,12,No,No,No,No,376,41,9.10,0.31,0.05,0.02,0.17,0.51,0.01,0.01,0.24,14
1796,Grizzly ChalleNGe Charter,https://www.schooldigger.com/go/CA/schools/9103211281/school.aspx,San Luis Obispo County Office of Education,https://www.schooldigger.com/go/CA/district/91032/search.aspx,721 Mendocino Ave. Camp San Lu,San Luis Obispo,https://www.schooldigger.com/go/CA/city/San+Luis+Obispo/search.aspx,93405,San Luis Obispo County,(805) 782-6882,10,12,Yes,Yes,No,No,227,13.1,17.30,0.76,0.01,0.01,0.03,0.82,0.00,0.02,0.12,13.9
1797,Calero High,https://www.schooldigger.com/go/CA/schools/1182013019/school.aspx,East Side Union High,https://www.schooldigger.com/go/CA/district/11820/search.aspx,420 Calero Ave.,San Jose,https://www.schooldigger.com/go/CA/city/San+Jose/search.aspx,95123,Santa Clara County,(408) 347-7600,10,12,Yes,No,No,No,366,20.3,18.00,0.52,0.04,0.00,0.25,0.62,0.01,0.03,0.05,13.8
1798,Mojave River Academy - Route 66,https://www.schooldigger.com/go/CA/schools/0148714233/school.aspx,Mojave River Academy - Route 66 District,https://www.schooldigger.com/go/CA/district/01487/search.aspx,16519 Victor St.,Victorville,https://www.schooldigger.com/go/CA/city/Victorville/search.aspx,92595,San Bernardino County,(760) 245-3222,KG,12,(n/a),Yes,No,No,330,16.2,20.30,0.86,0.08,0.00,0.01,0.72,0.01,0.06,0.12,13.8
1799,Roselawn High,https://www.schooldigger.com/go/CA/schools/0015811504/school.aspx,Turlock Unified,https://www.schooldigger.com/go/CA/district/00158/search.aspx,312 S. Roselawn,Turlock,https://www.schooldigger.com/go/CA/city/Turlock/search.aspx,95380,Stanislaus County,(209) 634-9311,9,12,Yes,No,No,No,166,10.3,16.00,0.93,0.05,0.00,0.01,0.75,0.00,0.01,0.18,13.8
1800,Baden High (Continuation),https://www.schooldigger.com/go/CA/schools/3753006340/school.aspx,South San Francisco Unified,https://www.schooldigger.com/go/CA/district/37530/search.aspx,825 S.wood Dr.,South San Francisco,https://www.schooldigger.com/go/CA/city/South+San+Francisco/search.aspx,94080,San Mateo County,(650) 877-8769,9,12,No,No,No,No,107,6.7,15.90,0.50,0.04,0.00,0.12,0.74,0.04,0.02,0.05,13.8
1801,Boynton High,https://www.schooldigger.com/go/CA/schools/0723000658/school.aspx,Campbell Union High,https://www.schooldigger.com/go/CA/district/07230/search.aspx,901 Boynton Ave.,San Jose,https://www.schooldigger.com/go/CA/city/San+Jose/search.aspx,95117,Santa Clara County,(408) 626-3404,9,12,Yes,No,No,No,209,14.3,14.60,0.53,0.01,0.01,0.02,0.70,0.00,0.03,0.22,13.8
1802,Kinney High (Continuation),https://www.schooldigger.com/go/CA/schools/1389001573/school.aspx,Folsom-Cordova Unified,https://www.schooldigger.com/go/CA/district/13890/search.aspx,2710 Kilgore Rd.,Rancho Cordova,https://www.schooldigger.com/go/CA/city/Rancho+Cordova/search.aspx,95670,Sacramento County,(916) 294-9060,9,12,Yes,No,No,No,119,8.8,13.50,0.81,0.15,0.01,0.01,0.40,0.02,0.15,0.26,13.7
1803,John F. Kennedy High,https://www.schooldigger.com/go/CA/schools/3255005037/school.aspx,West Contra Costa Unified,https://www.schooldigger.com/go/CA/district/32550/search.aspx,4300 Cutting Blvd.,Richmond,https://www.schooldigger.com/go/CA/city/Richmond/search.aspx,94804,Contra Costa County,(510) 231-1433,9,12,Yes,No,No,No,851,42.6,19.90,0.94,0.25,0.00,0.06,0.65,0.01,0.01,0.02,13.7
1804,San Diego County Court,https://www.schooldigger.com/go/CA/schools/9103013693/school.aspx,San Diego County Office of Education,https://www.schooldigger.com/go/CA/district/91030/search.aspx,2801 Meadow Lark Dr.,San Diego,https://www.schooldigger.com/go/CA/city/San+Diego/search.aspx,92123,San Diego County,(858) 694-4686,KG,12,Yes,No,No,No,316,36.2,8.70,0.99,0.18,0.01,0.04,0.64,0.01,0.01,0.11,13.7
1805,New Vision High,https://www.schooldigger.com/go/CA/schools/2361011776/school.aspx,Manteca Unified,https://www.schooldigger.com/go/CA/district/23610/search.aspx,4726 McCuen Ave.,Stockton,https://www.schooldigger.com/go/CA/city/Stockton/search.aspx,95206,San Joaquin County,(209) 938-6225,9,12,Yes,No,No,No,84,8,10.50,0.76,0.13,0.01,0.10,0.63,0.00,0.01,0.12,13.7
1806,Mojave River Academy - Rockview Park,https://www.schooldigger.com/go/CA/schools/0242714316/school.aspx,Mojave River Academy - Rockview Park District,https://www.schooldigger.com/go/CA/district/02427/search.aspx,14466 Main St.,Hesperia,https://www.schooldigger.com/go/CA/city/Hesperia/search.aspx,92345,San Bernardino County,(760) 245-3222,KG,12,(n/a),Yes,No,No,111,10.4,10.60,0.87,0.09,0.00,0.00,0.67,0.00,0.04,0.21,13.7
1807,George S. Patton Continuation,https://www.schooldigger.com/go/CA/schools/2271003276/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,24514 S. W.ern Ave.,Harbor City,https://www.schooldigger.com/go/CA/city/Harbor+City/search.aspx,90710,Los Angeles County,(310) 257-4740,9,12,Yes,No,No,No,69,3,23.00,0.73,0.29,0.00,0.01,0.61,0.03,0.00,0.06,13.6
1808,Royal Sunset (Continuation),https://www.schooldigger.com/go/CA/schools/3471005858/school.aspx,San Lorenzo Unified,https://www.schooldigger.com/go/CA/district/34710/search.aspx,20450 Royal Ave.,Hayward,https://www.schooldigger.com/go/CA/city/Hayward/search.aspx,94541,Alameda County,(510) 317-4400,7,12,No,No,No,No,105,7.8,13.40,0.59,0.25,0.01,0.05,0.63,0.00,0.02,0.05,13.6
1809,Pride Continuation,https://www.schooldigger.com/go/CA/schools/2181012338/school.aspx,Linden Unified,https://www.schooldigger.com/go/CA/district/21810/search.aspx,100 N. Jack Tone Rd.,Stockton,https://www.schooldigger.com/go/CA/city/Stockton/search.aspx,95215,San Joaquin County,(209) 887-3894,9,12,No,No,No,No,45,2.3,19.30,0.73,0.04,0.00,0.04,0.73,0.00,0.00,0.18,13.6
1810,Eric Birch High (Continuation),https://www.schooldigger.com/go/CA/schools/1392001586/school.aspx,Fontana Unified,https://www.schooldigger.com/go/CA/district/13920/search.aspx,7930 Locust Ave.,Fontana,https://www.schooldigger.com/go/CA/city/Fontana/search.aspx,92336,San Bernardino County,(909) 357-5310,10,12,Yes,No,No,No,242,17.2,14.00,0.89,0.07,0.01,0.01,0.86,0.00,0.00,0.05,13.6
1811,Hillview High (Continuation),https://www.schooldigger.com/go/CA/schools/4015006641/school.aspx,Tustin Unified,https://www.schooldigger.com/go/CA/district/40150/search.aspx,1701 San Juan St.,Tustin,https://www.schooldigger.com/go/CA/city/Tustin/search.aspx,92780,Orange County,(714) 730-7356,9,12,Yes,No,No,No,258,12,21.40,0.54,0.02,0.00,0.02,0.82,0.00,0.02,0.12,13.6
1812,Century High,https://www.schooldigger.com/go/CA/schools/0015310928/school.aspx,Alhambra Unified,https://www.schooldigger.com/go/CA/district/00153/search.aspx,20 S. Marengo Ave.,Alhambra,https://www.schooldigger.com/go/CA/city/Alhambra/search.aspx,91801,Los Angeles County,(626) 943-6680,9,12,Yes,No,No,No,133,7.4,17.90,0.64,0.02,0.00,0.16,0.78,0.01,0.04,0.00,13.5
1813,Owensmouth Continuation,https://www.schooldigger.com/go/CA/schools/2271003257/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,6921 Jordan Ave.,Canoga Park,https://www.schooldigger.com/go/CA/city/Canoga+Park/search.aspx,91303,Los Angeles County,(818) 340-7663,9,12,Yes,No,No,No,106,6.5,16.30,0.93,0.01,0.00,0.02,0.93,0.00,0.00,0.04,13.5
1814,Mt. Lukens Continuation,https://www.schooldigger.com/go/CA/schools/2271003201/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,7705 Summitrose St.,Tujunga,https://www.schooldigger.com/go/CA/city/Tujunga/search.aspx,91042,Los Angeles County,(818) 352-4039,9,12,Yes,No,No,No,47,2.5,18.80,0.81,0.04,0.02,0.02,0.75,0.00,0.00,0.17,13.5
1815,Discovery High,https://www.schooldigger.com/go/CA/schools/0003606335/school.aspx,Natomas Unified,https://www.schooldigger.com/go/CA/district/00036/search.aspx,3401 Fong Ranch Rd.,Sacramento,https://www.schooldigger.com/go/CA/city/Sacramento/search.aspx,95834,Sacramento County,(916) 928-5200,9,12,No,No,No,No,114,10.4,10.90,0.74,0.28,0.02,0.10,0.40,0.00,0.11,0.11,13.5
1816,School of Extended Educational Options,https://www.schooldigger.com/go/CA/schools/3132012112/school.aspx,Pomona Unified,https://www.schooldigger.com/go/CA/district/31320/search.aspx,1460 E. Holt Ave. Ste. 100,Pomona,https://www.schooldigger.com/go/CA/city/Pomona/search.aspx,91767,Los Angeles County,(909) 397-4900,KG,12,Yes,Yes,No,No,398,15.7,25.20,0.93,0.06,0.00,0.00,0.84,0.00,0.04,0.06,13.4
1817,Community School/Independent Alternative Education,https://www.schooldigger.com/go/CA/schools/9102911088/school.aspx,San Bernardino County Office of Education,https://www.schooldigger.com/go/CA/district/91029/search.aspx,601 N. E St.,San Bernardino,https://www.schooldigger.com/go/CA/city/San+Bernardino/search.aspx,92415,San Bernardino County,(909) 386-2722,3,12,Yes,No,No,No,539,33,16.30,0.93,0.19,0.00,0.00,0.69,0.00,0.02,0.09,13.4
1818,Enterprise High,https://www.schooldigger.com/go/CA/schools/1949008865/school.aspx,Kerman Unified,https://www.schooldigger.com/go/CA/district/19490/search.aspx,15405 Sunset Ave.,Kerman,https://www.schooldigger.com/go/CA/city/Kerman/search.aspx,93630,Fresno County,(559) 843-9580,7,12,Yes,No,No,No,61,5.2,11.70,0.77,0.00,0.00,0.03,0.89,0.00,0.00,0.08,13.3
1819,California Heritage Youthbuild Academy II,https://www.schooldigger.com/go/CA/schools/0153112995/school.aspx,California Heritage Youthbuild Academy II District,https://www.schooldigger.com/go/CA/district/01531/search.aspx,8544 Airport Rd.,Redding,https://www.schooldigger.com/go/CA/city/Redding/search.aspx,96002,Shasta County,(530) 378-5254,9,12,Yes,Yes,No,No,95,4.1,22.80,0.86,0.02,0.06,0.00,0.26,0.01,0.13,0.52,13.3
1820,Buena Vista High,https://www.schooldigger.com/go/CA/schools/2985004647/school.aspx,Paramount Unified,https://www.schooldigger.com/go/CA/district/29850/search.aspx,3717 Michelson St.,Lakewood,https://www.schooldigger.com/go/CA/city/Lakewood/search.aspx,90712,Los Angeles County,(562) 602-8090,9,12,Yes,No,No,No,197,16,12.20,0.95,0.12,0.00,0.00,0.84,0.00,0.02,0.02,13.3
1821,Cuyama Valley High,https://www.schooldigger.com/go/CA/schools/0000908779/school.aspx,Cuyama Joint Unified,https://www.schooldigger.com/go/CA/district/00009/search.aspx,4500 Highway 166,New Cuyama,https://www.schooldigger.com/go/CA/city/New+Cuyama/search.aspx,93254,Santa Barbara County,(661) 766-2293,9,12,Yes,No,No,No,47,6.2,7.50,0.81,0.00,0.00,0.00,0.87,0.00,0.02,0.11,13.3
1822,Petersen Alternative Center for Education,https://www.schooldigger.com/go/CA/schools/9104107887/school.aspx,Stanislaus County Office of Education,https://www.schooldigger.com/go/CA/district/91041/search.aspx,2209 Blue Gum Ave.,Modesto,https://www.schooldigger.com/go/CA/city/Modesto/search.aspx,95358,Stanislaus County,(209) 238-6717,6,12,Yes,No,No,No,169,8,21.10,0.93,0.08,0.01,0.01,0.65,0.00,0.05,0.20,13.2
1823,La Sierra High (Alternative),https://www.schooldigger.com/go/CA/schools/1476007723/school.aspx,Fullerton Joint Union High,https://www.schooldigger.com/go/CA/district/14760/search.aspx,951 N. State College Blvd.,Fullerton,https://www.schooldigger.com/go/CA/city/Fullerton/search.aspx,92831,Orange County,(714) 447-7821,9,12,Yes,No,No,No,457,25.6,17.80,0.71,0.05,0.00,0.10,0.72,0.00,0.00,0.12,13.2
1824,Pinnacle Academy Charter - Independent Study,https://www.schooldigger.com/go/CA/schools/1965014041/school.aspx,South Monterey County Joint Union High,https://www.schooldigger.com/go/CA/district/19650/search.aspx,760 BRd.way St.,King City,https://www.schooldigger.com/go/CA/city/King+City/search.aspx,93930,Monterey County,(831) 385-4661,9,12,No,Yes,No,No,77,2.5,30.80,0.70,0.00,0.01,0.00,0.95,0.00,0.00,0.04,13.1
1825,Monarch,https://www.schooldigger.com/go/CA/schools/9103012496/school.aspx,San Diego County Office of Education,https://www.schooldigger.com/go/CA/district/91030/search.aspx,1625 Newton Ave.,San Diego,https://www.schooldigger.com/go/CA/city/San+Diego/search.aspx,92113,San Diego County,(619) 652-4100,KG,12,Yes,No,No,No,241,15,16.00,0.99,0.08,0.00,0.01,0.82,0.00,0.03,0.06,13.1
1826,San Joaquin County Community,https://www.schooldigger.com/go/CA/schools/9103110650/school.aspx,San Joaquin County Office of Education,https://www.schooldigger.com/go/CA/district/91031/search.aspx,2707 Transworld Dr.,Stockton,https://www.schooldigger.com/go/CA/city/Stockton/search.aspx,95206,San Joaquin County,(209) 468-4847,KG,12,Yes,No,No,No,1164,55.3,21.00,0.82,0.15,0.01,0.05,0.59,0.01,0.07,0.12,13.1
1827,Heartland High (Continuation),https://www.schooldigger.com/go/CA/schools/3627006184/school.aspx,Selma Unified,https://www.schooldigger.com/go/CA/district/36270/search.aspx,2269 Sylvia St.,Selma,https://www.schooldigger.com/go/CA/city/Selma/search.aspx,93662,Fresno County,(559) 898-6670,7,12,Yes,No,No,No,63,5.6,11.10,0.84,0.02,0.00,0.00,0.95,0.00,0.00,0.03,13.1
1828,Napa County Community,https://www.schooldigger.com/go/CA/schools/9102207574/school.aspx,Napa County Office of Education,https://www.schooldigger.com/go/CA/district/91022/search.aspx,2121 Imola Ave.,Napa,https://www.schooldigger.com/go/CA/city/Napa/search.aspx,94559,Napa County,(707) 253-6817,KG,12,Yes,No,No,No,98,6,16.30,0.75,0.01,0.00,0.00,0.80,0.00,0.03,0.16,13.1
1829,Thompson Peak Charter,https://www.schooldigger.com/go/CA/schools/0184014096/school.aspx,Thompson Peak Charter District,https://www.schooldigger.com/go/CA/district/01840/search.aspx,995 Paiute Ln.,Susanville,https://www.schooldigger.com/go/CA/city/Susanville/search.aspx,96130,Lassen County,(530) 257-7300,KG,12,Yes,Yes,No,No,140,7.2,19.30,0.61,0.00,0.03,0.00,0.19,0.00,0.07,0.71,13.1
1830,Stanislaus Military Academy at Teel,https://www.schooldigger.com/go/CA/schools/9104111486/school.aspx,Stanislaus County Office of Education,https://www.schooldigger.com/go/CA/district/91041/search.aspx,5255 1st St.,Empire,https://www.schooldigger.com/go/CA/city/Empire/search.aspx,95319,Stanislaus County,(209) 238-6600,9,12,Yes,No,No,No,113,10,11.30,0.92,0.04,0.00,0.00,0.74,0.00,0.03,0.20,13.1
1831,Salinas Community,https://www.schooldigger.com/go/CA/schools/9102110557/school.aspx,Monterey County Office of Education,https://www.schooldigger.com/go/CA/district/91021/search.aspx,1420 Natividad Rd.,Salinas,https://www.schooldigger.com/go/CA/city/Salinas/search.aspx,93906,Monterey County,(831) 753-1578,7,12,Yes,No,No,No,143,8,17.70,0.86,0.00,0.00,0.01,0.90,0.00,0.04,0.05,13.1
