School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Lincoln Park School,https://www.schooldigger.com/go/TX/schools/1168005663/school.aspx,Brownsville Independent School District,https://www.schooldigger.com/go/TX/district/11680/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78521,Cameron,(956) 548-7880,PK,12,(n/a),No,No,No,0,20,0,,,,,,,,,8.6
Wallace Accelerated High School,https://www.schooldigger.com/go/TX/schools/4203012703/school.aspx,Sweetwater Independent School District,https://www.schooldigger.com/go/TX/district/42030/search.aspx,Colorado City,https://www.schooldigger.com/go/TX/city/Colorado+City/search.aspx,79512,Mitchell,(325) 728-2392,9,12,No,No,No,Yes,30,,,0.73,0.13,0,0,0.47,0,0,0.4,8.5
Estacado High School,https://www.schooldigger.com/go/TX/schools/2850010890/school.aspx,Lubbock Independent School District,https://www.schooldigger.com/go/TX/district/28500/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79403,Lubbock,(806) 219-1400,9,12,Yes,No,Yes,Yes,693,72,9.6,0.79,0.46,0,0,0.5,0,0.01,0.03,8.5
Woodson Center For Excellence,https://www.schooldigger.com/go/TX/schools/0744007123/school.aspx,Abilene Independent School District,https://www.schooldigger.com/go/TX/district/07440/search.aspx,Abilene,https://www.schooldigger.com/go/TX/city/Abilene/search.aspx,79601,Taylor,(325) 671-4736,7,12,No,No,No,No,166,20,8.3,0.84,0.11,0.01,0.01,0.55,0,0.03,0.3,8.3
Liberty High School,https://www.schooldigger.com/go/TX/schools/2364010741/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77074,Harris,(713) 458-5555,12,12,Yes,Yes,No,Yes,464,18,25.7,0.97,0.07,0,0.02,0.91,0,0,0,8.3
Columbus Alternative School,https://www.schooldigger.com/go/TX/schools/1470012678/school.aspx,Columbus Independent School District,https://www.schooldigger.com/go/TX/district/14700/search.aspx,Columbus,https://www.schooldigger.com/go/TX/city/Columbus/search.aspx,78934,Colorado,(979) 732-2963,9,12,Yes,No,No,No,16,0,,0.56,0.31,0,0,0.19,0,0.06,0.44,8.2
Frederick A Douglass Learning Academy,https://www.schooldigger.com/go/TX/schools/1437012020/school.aspx,Cleveland Independent School District,https://www.schooldigger.com/go/TX/district/14370/search.aspx,Cleveland,https://www.schooldigger.com/go/TX/city/Cleveland/search.aspx,77327,Liberty,(281) 592-7595,9,12,Yes,No,No,No,33,5,6.6,0.7,0.06,0,0,0.52,0,0.03,0.39,8.2
Laurel Ridge,https://www.schooldigger.com/go/TX/schools/0007111352/school.aspx,University Of Texas University Charter School,https://www.schooldigger.com/go/TX/district/00071/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78259,Bexar,(512) 560-8132,2,12,No,Yes,No,Yes,20,4,5,0.55,0.05,0,0.05,0.2,0,0.05,0.65,8.2
Midvalley Academy-San Benito Charter High School,https://www.schooldigger.com/go/TX/schools/0013311872/school.aspx,Midvalley Academy Charter District,https://www.schooldigger.com/go/TX/district/00133/search.aspx,San Benito,https://www.schooldigger.com/go/TX/city/San+Benito/search.aspx,78586,Cameron,(956) 276-9930,9,12,Yes,Yes,No,No,110,6,18.3,0.95,0,0,0,0.99,0,0,0.01,8.1
Garza County Regional Juvenile Center,https://www.schooldigger.com/go/TX/schools/3549012914/school.aspx,Post Independent School District,https://www.schooldigger.com/go/TX/district/35490/search.aspx,Post,https://www.schooldigger.com/go/TX/city/Post/search.aspx,79356,Garza,(806) 495-3343,6,12,No,No,No,No,66,8,8.2,0.96,0.38,0,0,0.42,0,0,0.2,8
Lee High School,https://www.schooldigger.com/go/TX/schools/2364002518/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77057,Harris,(713) 787-1700,9,12,Yes,No,No,Yes,1533,78,19.6,0.61,0.15,0,0.06,0.74,0.01,0,0.04,8
Kashmere High School,https://www.schooldigger.com/go/TX/schools/2364002506/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77028,Harris,(713) 636-6400,9,12,Yes,No,Yes,Yes,513,32,16,0.69,0.77,0,0,0.22,0,0,0.01,8
Victoria Regional Juvenile Justice Center-AEP,https://www.schooldigger.com/go/TX/schools/4415008072/school.aspx,Victoria Independent School District,https://www.schooldigger.com/go/TX/district/44150/search.aspx,Victoria,https://www.schooldigger.com/go/TX/city/Victoria/search.aspx,77901,Victoria,(361) 575-0399,7,12,No,No,No,Yes,41,4,10.2,0.93,0.17,0,0,0.68,0,0.02,0.12,8
Evolution Academy Houston,https://www.schooldigger.com/go/TX/schools/0023612916/school.aspx,Evolution Academy Charter School,https://www.schooldigger.com/go/TX/district/00236/search.aspx,Spring,https://www.schooldigger.com/go/TX/city/Spring/search.aspx,77388,Harris,(972) 907-3755,9,12,Yes,Yes,No,Yes,101,7,14.4,0.52,0.52,0.09,0,0.21,0,0,0.19,8
John H Wood Junior Charter School Hays County Juvenile Resource Center,https://www.schooldigger.com/go/TX/schools/0005309121/school.aspx,John H Wood Junior Public Charter District,https://www.schooldigger.com/go/TX/district/00053/search.aspx,San Marcos,https://www.schooldigger.com/go/TX/city/San+Marcos/search.aspx,78666,Hays,(210) 638-5400,6,12,Yes,Yes,No,No,100,8,12.5,0.97,0.23,0.02,0,0.5,0,0.02,0.23,8
South Plains Academy Charter High School,https://www.schooldigger.com/go/TX/schools/0014208326/school.aspx,South Plains Academy Charter District,https://www.schooldigger.com/go/TX/district/00142/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79412,Lubbock,(806) 744-0330,9,12,Yes,Yes,No,No,206,13,15.8,0.93,0.12,0.01,0,0.78,0,0,0.1,7.9
Wilson School,https://www.schooldigger.com/go/TX/schools/4599005241/school.aspx,Wilson Independent School District,https://www.schooldigger.com/go/TX/district/45990/search.aspx,Wilson,https://www.schooldigger.com/go/TX/city/Wilson/search.aspx,79381,Lynn,(806) 628-6271,PK,12,Yes,No,No,No,117,15,7.8,0.8,0,0,0,0.8,0,0,0.2,7.8
George I Sanchez High School,https://www.schooldigger.com/go/TX/schools/0002007304/school.aspx,George I Sanchez Charter,https://www.schooldigger.com/go/TX/district/00020/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77023,Harris,(713) 926-1112,PK,12,Yes,Yes,No,Yes,738,39,18.9,0.91,0.01,0,0,0.99,0,0,0.01,7.8
North Forest High School,https://www.schooldigger.com/go/TX/schools/2364013022/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77078,Harris,(713) 636-4300,9,12,Yes,No,No,No,1029,56,18.3,0.67,0.64,0.01,0,0.34,0,0,0.01,7.8
Winfree Academy Charter School Denton,https://www.schooldigger.com/go/TX/schools/0020211380/school.aspx,Winfree Academy Charter Schools,https://www.schooldigger.com/go/TX/district/00202/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75237,Dallas,(469) 930-5199,9,12,No,Yes,No,No,83,6,13.8,0.81,0.6,0,0.01,0.34,0,0.02,0.02,7.8
Pickett Academy,https://www.schooldigger.com/go/TX/schools/3873009126/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78202,Bexar,(210) 212-4684,6,12,Yes,No,No,Yes,34,10,3.4,0.88,0.15,0,0,0.79,0,0,0.06,7.7
North Heights Alter,https://www.schooldigger.com/go/TX/schools/0813000167/school.aspx,Amarillo Independent School District,https://www.schooldigger.com/go/TX/district/08130/search.aspx,Amarillo,https://www.schooldigger.com/go/TX/city/Amarillo/search.aspx,79107,Potter,(806) 326-2850,8,12,Yes,No,No,No,514,24,21.4,0.48,0.16,0.01,0.05,0.56,0,0.02,0.2,7.6
Healy-Murphy,https://www.schooldigger.com/go/TX/schools/3873005911/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78202,Bexar,(210) 223-2944,9,12,Yes,No,No,Yes,170,8,21.2,0.98,0.15,0,0,0.85,0,0,0.01,7.6
Worthing High School,https://www.schooldigger.com/go/TX/schools/2364002619/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77051,Harris,(713) 733-3433,9,12,Yes,No,No,No,681,38,17.9,0.73,0.86,0,0,0.13,0,0,0.01,7.5
Crossroads High School,https://www.schooldigger.com/go/TX/schools/1524007233/school.aspx,Copperas Cove Independent School District,https://www.schooldigger.com/go/TX/district/15240/search.aspx,Copperas Cove,https://www.schooldigger.com/go/TX/city/Copperas+Cove/search.aspx,76522,Coryell,(254) 547-9164,9,12,Yes,No,No,No,46,8,5.7,0.52,0.13,0.04,0,0.22,0,0.11,0.5,7.5
Quest,https://www.schooldigger.com/go/TX/schools/1222003287/school.aspx,Burnet Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/12220/search.aspx,Burnet,https://www.schooldigger.com/go/TX/city/Burnet/search.aspx,78611,Burnet,(512) 756-6747,9,12,Yes,No,No,No,25,4,6.2,0.64,0,0,0,0.2,0,0.04,0.76,7.5
Brazoria County Juvenile Detention,https://www.schooldigger.com/go/TX/schools/0831007814/school.aspx,Angleton Independent School District,https://www.schooldigger.com/go/TX/district/08310/search.aspx,Angleton,https://www.schooldigger.com/go/TX/city/Angleton/search.aspx,77515,Brazoria,(979) 864-1210,5,12,No,No,No,No,37,8,4.6,0.19,0.16,0,0,0.46,0,0.03,0.35,7.4
Por Vida Academy Charter High School,https://www.schooldigger.com/go/TX/schools/0000407173/school.aspx,Por Vida Academy,https://www.schooldigger.com/go/TX/district/00004/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78210,Bexar,(210) 532-9161,9,12,Yes,Yes,No,No,174,10,17.4,0.52,0.05,0,0,0.88,0,0.02,0.05,7.4
Trinity Charter School,https://www.schooldigger.com/go/TX/schools/0025910532/school.aspx,Trinity Charter School,https://www.schooldigger.com/go/TX/district/00259/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend,(281) 392-7505,7,12,Yes,Yes,No,Yes,51,9,5.6,0.94,0.22,0,0,0.28,0,0.02,0.49,7.4
Edcouch-Elsa H S Academy,https://www.schooldigger.com/go/TX/schools/1806013006/school.aspx,Edcouch-Elsa Independent School District,https://www.schooldigger.com/go/TX/district/18060/search.aspx,Elsa,https://www.schooldigger.com/go/TX/city/Elsa/search.aspx,78543,Hidalgo,(956) 262-0151,10,12,Yes,No,No,Yes,46,4,11.5,0.94,0,0,0,0.98,0,0,0.02,7.3
Perrin Learning Center,https://www.schooldigger.com/go/TX/schools/4008006911/school.aspx,Sherman Independent School District,https://www.schooldigger.com/go/TX/district/40080/search.aspx,Denison,https://www.schooldigger.com/go/TX/city/Denison/search.aspx,75020,Grayson,(903) 891-6680,9,12,Yes,No,No,Yes,54,6,9,0.83,0.22,0,0,0.48,0.02,0.02,0.26,7.2
Premier H S Of Tyler,https://www.schooldigger.com/go/TX/schools/0020708357/school.aspx,Premier High Schools,https://www.schooldigger.com/go/TX/district/00207/search.aspx,Tyler,https://www.schooldigger.com/go/TX/city/Tyler/search.aspx,75702,Smith,(903) 592-5222,9,12,Yes,Yes,No,No,104,7,14.8,0.67,0.3,0,0.01,0.47,0,0.05,0.17,7.2
Methodist Children's Home,https://www.schooldigger.com/go/TX/schools/0007109513/school.aspx,University Of Texas University Charter School,https://www.schooldigger.com/go/TX/district/00071/search.aspx,Waco,https://www.schooldigger.com/go/TX/city/Waco/search.aspx,76708,McLennan,(254) 644-9111,7,12,Yes,Yes,No,No,117,16,7.3,0.97,0.28,0,0.01,0.24,0,0.09,0.39,7.2
Shoreline Academy,https://www.schooldigger.com/go/TX/schools/0015912097/school.aspx,Erath Excels Academy Inc,https://www.schooldigger.com/go/TX/district/00159/search.aspx,Taft,https://www.schooldigger.com/go/TX/city/Taft/search.aspx,78390,San Patricio,(361) 528-3959,7,12,Yes,Yes,No,Yes,92,7,13.1,0.97,0.05,0,0,0.72,0,0,0.23,7.2
Pride Alter School,https://www.schooldigger.com/go/TX/schools/2400001969/school.aspx,Huntington Independent School District,https://www.schooldigger.com/go/TX/district/24000/search.aspx,Huntington,https://www.schooldigger.com/go/TX/city/Huntington/search.aspx,75949,Angelina,(936) 876-4287,9,12,Yes,No,No,No,45,2,22.5,0.53,0.04,0,0,0.07,0,0,0.89,7.1
Academy Of Choice,https://www.schooldigger.com/go/TX/schools/4110012995/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77055,Harris,(713) 464-1511,7,12,Yes,No,No,No,144,25,5.7,0.63,0.06,0.01,0,0.69,0.01,0.01,0.21,7.1
John H Wood Junior Charter School Granbury,https://www.schooldigger.com/go/TX/schools/0005311906/school.aspx,John H Wood Junior Public Charter District,https://www.schooldigger.com/go/TX/district/00053/search.aspx,Granbury,https://www.schooldigger.com/go/TX/city/Granbury/search.aspx,76048,Hood,(210) 638-5600,6,12,Yes,Yes,No,No,90,7,12.8,0.97,0.06,0,0,0.63,0,0.03,0.28,7.1
Dallas Can Academy At Pleasant Grove,https://www.schooldigger.com/go/TX/schools/0001610548/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75217,Dallas,(972) 225-1194,9,12,Yes,Yes,No,Yes,538,25,21.5,0.96,0.38,0,0,0.58,0,0,0.04,7
Success High School,https://www.schooldigger.com/go/TX/schools/3808008958/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78664,Williamson,(512) 428-7196,9,12,No,No,No,No,307,26,11.8,0.35,0.12,0,0.01,0.55,0,0.03,0.29,7
Dallas Can Academy At Carrollton-Farmers Branch,https://www.schooldigger.com/go/TX/schools/0001609532/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Farmers Branch,https://www.schooldigger.com/go/TX/city/Farmers+Branch/search.aspx,75234,Dallas,(972) 243-2178,9,12,Yes,Yes,No,Yes,259,16,16.1,0.91,0.12,0,0.01,0.8,0,0,0.06,6.9
Dallas Can Academy Charter,https://www.schooldigger.com/go/TX/schools/0001607239/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75204,Dallas,(214) 824-4226,9,12,Yes,Yes,No,No,522,24,21.7,0.92,0.4,0.01,0,0.54,0,0,0.05,6.9
North Plains Opportunity Center,https://www.schooldigger.com/go/TX/schools/1761007047/school.aspx,Dumas Independent School District,https://www.schooldigger.com/go/TX/district/17610/search.aspx,Dumas,https://www.schooldigger.com/go/TX/city/Dumas/search.aspx,79029,Moore,(806) 935-8774,9,12,Yes,No,No,Yes,66,5,13.2,0.58,0.02,0,0.03,0.76,0,0.02,0.18,6.7
Hospital/Homebound,https://www.schooldigger.com/go/TX/schools/1623006391/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75201,Dallas,(972) 581-4115,PK,12,No,No,No,No,132,16,8.2,0.35,0.39,0,0.01,0.33,0,0.02,0.27,6.7
Keys Academy,https://www.schooldigger.com/go/TX/schools/2253021152/school.aspx,Harlingen Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/22530/search.aspx,Harlingen,https://www.schooldigger.com/go/TX/city/Harlingen/search.aspx,78550,Cameron,(956) 427-3220,PK,12,Yes,No,No,Yes,148,14,10.5,0.85,0.01,0,0.01,0.94,0,0,0.05,6.7
Juvenile Detention Center,https://www.schooldigger.com/go/TX/schools/1818006693/school.aspx,Edinburg Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/18180/search.aspx,Edinburg,https://www.schooldigger.com/go/TX/city/Edinburg/search.aspx,78542,Hidalgo,(956) 289-2321,5,12,No,No,No,Yes,82,6,13.6,0.23,0.01,0,0,0.95,0,0.01,0.02,6.6
Alter Educational Center,https://www.schooldigger.com/go/TX/schools/2892005407/school.aspx,Mansfield Independent School District,https://www.schooldigger.com/go/TX/district/28920/search.aspx,Mansfield,https://www.schooldigger.com/go/TX/city/Mansfield/search.aspx,76063,Tarrant,(817) 299-5800,9,12,Yes,No,No,No,103,26,3.9,0.41,0.39,0.01,0.01,0.27,0,0.06,0.26,6.5
Pleasanton Independent School District School Of Choice,https://www.schooldigger.com/go/TX/schools/3519011945/school.aspx,Pleasanton Independent School District,https://www.schooldigger.com/go/TX/district/35190/search.aspx,Pleasanton,https://www.schooldigger.com/go/TX/city/Pleasanton/search.aspx,78064,Atascosa,(830) 569-1250,10,12,No,No,No,No,8,1,8,1,0.13,0,0,0.38,0,0,0.5,6.5
Comal Academy,https://www.schooldigger.com/go/TX/schools/1473006957/school.aspx,Comal Independent School District,https://www.schooldigger.com/go/TX/district/14730/search.aspx,New Braunfels,https://www.schooldigger.com/go/TX/city/New+Braunfels/search.aspx,78130,Comal,(830) 221-2950,11,12,Yes,No,No,No,39,3,13,0.23,0.05,0,0,0.28,0,0.05,0.62,6.4
Juvenile Detent Center,https://www.schooldigger.com/go/TX/schools/3873021101/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78210,Bexar,(210) 335-7865,6,12,Yes,No,No,Yes,151,16,9.4,0.14,0.14,0,0,0.74,0,0.01,0.11,6.3
Juvenile Detent Center,https://www.schooldigger.com/go/TX/schools/2855000536/school.aspx,Lufkin Independent School District,https://www.schooldigger.com/go/TX/district/28550/search.aspx,Lufkin,https://www.schooldigger.com/go/TX/city/Lufkin/search.aspx,75904,Angelina,(936) 634-8689,7,12,Yes,No,No,Yes,7,,,1,0.14,0,0,0.14,0,0,0.71,6.2
W B Bizzell Academy,https://www.schooldigger.com/go/TX/schools/3219012965/school.aspx,Navasota Independent School District,https://www.schooldigger.com/go/TX/district/32190/search.aspx,Navasota,https://www.schooldigger.com/go/TX/city/Navasota/search.aspx,77868,Grimes,(936) 825-4296,9,12,Yes,No,No,Yes,32,3,10.6,0.81,0.38,0,0,0.38,0,0,0.25,6.2
Genesis High School,https://www.schooldigger.com/go/TX/schools/0957021082/school.aspx,Bastrop Independent School District,https://www.schooldigger.com/go/TX/district/09570/search.aspx,Bastrop,https://www.schooldigger.com/go/TX/city/Bastrop/search.aspx,78602,Bastrop,(512) 772-7230,9,12,Yes,No,No,No,72,7,10.2,0.69,0.08,0,0.01,0.63,0,0.04,0.24,6.1
Tejas School Of Choice,https://www.schooldigger.com/go/TX/schools/4668005938/school.aspx,Ysleta Independent School District,https://www.schooldigger.com/go/TX/district/46680/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79915,El Paso,(915) 434-9900,9,12,Yes,No,No,Yes,176,19,9.2,0.85,0.01,0,0,0.98,0,0,0.01,6.1
Denton Creek,https://www.schooldigger.com/go/TX/schools/3318003773/school.aspx,Northwest Independent School District,https://www.schooldigger.com/go/TX/district/33180/search.aspx,Roanoke,https://www.schooldigger.com/go/TX/city/Roanoke/search.aspx,76262,Denton,(817) 215-0920,9,12,No,No,No,No,29,3,9.6,0,0.17,0,0,0.76,0,0,0.07,6.1
Viola M Coleman High School,https://www.schooldigger.com/go/TX/schools/3057006756/school.aspx,Midland Independent School District,https://www.schooldigger.com/go/TX/district/30570/search.aspx,Midland,https://www.schooldigger.com/go/TX/city/Midland/search.aspx,79701,Midland,(432) 689-5000,9,12,Yes,No,No,No,170,17,10,0.38,0.15,0.01,0.01,0.67,0,0.02,0.15,6
Houston Can Academy - Hobby,https://www.schooldigger.com/go/TX/schools/0001609602/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77017,Harris,(832) 379-4226,9,12,Yes,Yes,No,No,360,17,21.1,0.94,0.26,0,0,0.72,0,0.01,0.01,6
Cesar E Chavez Academy,https://www.schooldigger.com/go/TX/schools/0000409460/school.aspx,Por Vida Academy,https://www.schooldigger.com/go/TX/district/00004/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78411,Nueces,(361) 561-5651,9,12,Yes,Yes,No,No,101,8,12.6,0.78,0.03,0,0,0.95,0,0,0.02,6
Evolution Academy Beaumont,https://www.schooldigger.com/go/TX/schools/0023613008/school.aspx,Evolution Academy Charter School,https://www.schooldigger.com/go/TX/district/00236/search.aspx,Beaumont,https://www.schooldigger.com/go/TX/city/Beaumont/search.aspx,77705,Jefferson,(972) 907-3755,9,12,Yes,Yes,No,No,177,9,19.6,0.74,0.76,0,0,0.11,0,0.04,0.09,5.9
John H Wood Junior Charter School At Afton Oaks,https://www.schooldigger.com/go/TX/schools/0005307796/school.aspx,John H Wood Junior Public Charter District,https://www.schooldigger.com/go/TX/district/00053/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78232,Bexar,(210) 638-5000,6,12,Yes,Yes,No,No,131,16,8.1,0.98,0.28,0.01,0,0.47,0,0,0.24,5.9
Memorial Pathway Academy High School,https://www.schooldigger.com/go/TX/schools/2034005726/school.aspx,Garland Independent School District,https://www.schooldigger.com/go/TX/district/20340/search.aspx,Garland,https://www.schooldigger.com/go/TX/city/Garland/search.aspx,75041,Dallas,(972) 926-2650,9,12,Yes,No,No,Yes,202,24,8.4,0.62,0.07,0.02,0.05,0.75,0,0,0.11,5.9
Waxahachie H S Of Choice,https://www.schooldigger.com/go/TX/schools/4473006943/school.aspx,Waxahachie Independent School District,https://www.schooldigger.com/go/TX/district/44730/search.aspx,Waxahachie,https://www.schooldigger.com/go/TX/city/Waxahachie/search.aspx,75165,Ellis,(972) 923-4758,10,12,Yes,No,No,No,25,2,12.5,0.44,0.08,0,0,0.4,0,0.04,0.48,5.9
Richard Milburn Academy Amarillo,https://www.schooldigger.com/go/TX/schools/0007509009/school.aspx,Richard Milburn Alter High School (Killeen),https://www.schooldigger.com/go/TX/district/00075/search.aspx,Amarillo,https://www.schooldigger.com/go/TX/city/Amarillo/search.aspx,79109,Randall,(806) 463-2284,9,12,(n/a),Yes,(n/a),Yes,189,,,0.66,0.08,0.01,0.01,0.38,0,0,0.52,5.8
X I T Secondary School,https://www.schooldigger.com/go/TX/schools/1620007237/school.aspx,Dalhart Independent School District,https://www.schooldigger.com/go/TX/district/16200/search.aspx,Dalhart,https://www.schooldigger.com/go/TX/city/Dalhart/search.aspx,79022,Dallam,(806) 244-7343,7,12,Yes,No,No,No,25,5,5,0.56,0,0,0,0.4,0,0,0.6,5.8
Pro-Vision High School,https://www.schooldigger.com/go/TX/schools/0143412920/school.aspx,The Pro-Vision Academy,https://www.schooldigger.com/go/TX/district/01434/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77051,Harris,(713) 748-0030,9,12,Yes,Yes,No,Yes,182,12,15.1,0.93,0.89,0,0,0.1,0,0.01,0.01,5.8
Shannon High School,https://www.schooldigger.com/go/TX/schools/1023013066/school.aspx,Birdville Independent School District,https://www.schooldigger.com/go/TX/district/10230/search.aspx,Haltom City,https://www.schooldigger.com/go/TX/city/Haltom+City/search.aspx,76117,Tarrant,(817) 547-5400,9,12,No,No,No,Yes,206,21,9.8,0.67,0.05,0.01,0.05,0.52,0.01,0.02,0.35,5.7
Raymondville Options Academic Academy,https://www.schooldigger.com/go/TX/schools/3654012552/school.aspx,Raymondville Independent School District,https://www.schooldigger.com/go/TX/district/36540/search.aspx,Raymondville,https://www.schooldigger.com/go/TX/city/Raymondville/search.aspx,78580,Willacy,(956) 689-8175,9,12,Yes,No,No,Yes,60,7,8.5,0.95,0,0,0,0.98,0,0,0.02,5.6
Brazos High School,https://www.schooldigger.com/go/TX/schools/4428009344/school.aspx,Waco Independent School District,https://www.schooldigger.com/go/TX/district/44280/search.aspx,Waco,https://www.schooldigger.com/go/TX/city/Waco/search.aspx,76701,McLennan,(254) 754-6283,7,12,Yes,No,Yes,Yes,199,6,33.1,0.65,0.33,0.01,0.01,0.59,0,0.01,0.07,5.6
Pathfinder Achievement Center,https://www.schooldigger.com/go/TX/schools/2034002017/school.aspx,Garland Independent School District,https://www.schooldigger.com/go/TX/district/20340/search.aspx,Garland,https://www.schooldigger.com/go/TX/city/Garland/search.aspx,75040,Dallas,(972) 494-8520,3,12,Yes,No,No,No,37,16,2.3,0.76,0.35,0.03,0,0.22,0,0.03,0.38,5.5
Gateway To Graduation Academy,https://www.schooldigger.com/go/TX/schools/3879012292/school.aspx,San Benito Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/38790/search.aspx,San Benito,https://www.schooldigger.com/go/TX/city/San+Benito/search.aspx,78586,Cameron,(956) 361-6275,9,12,Yes,No,No,Yes,67,4,16.7,0.66,0,0,0,0.99,0,0,0.02,5.4
Midland Alternative Program,https://www.schooldigger.com/go/TX/schools/3057012704/school.aspx,Midland Independent School District,https://www.schooldigger.com/go/TX/district/30570/search.aspx,Midland,https://www.schooldigger.com/go/TX/city/Midland/search.aspx,79701,Midland,(432) 240-4706,7,12,Yes,No,No,No,36,17,2.1,0.56,0.06,0,0,0.75,0,0.03,0.17,5.3
Fort Worth Can Academy Lancaster Avenue,https://www.schooldigger.com/go/TX/schools/0001609028/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76114,Tarrant,(817) 735-1515,9,12,Yes,Yes,No,No,240,13,18.4,0.9,0.23,0.01,0,0.69,0,0,0.06,5.3
Dallas County Juvenile Justice,https://www.schooldigger.com/go/TX/schools/0009308164/school.aspx,Academy For Academic Excellence,https://www.schooldigger.com/go/TX/district/00093/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75212,Dallas,(214) 698-4385,6,12,Yes,Yes,No,Yes,252,24,10.5,0.99,0.44,0,0,0.44,0,0.02,0.1,5.3
Brownfield Education Center,https://www.schooldigger.com/go/TX/schools/1161012078/school.aspx,Brownfield Independent School District,https://www.schooldigger.com/go/TX/district/11610/search.aspx,Brownfield,https://www.schooldigger.com/go/TX/city/Brownfield/search.aspx,79316,Terry,(806) 637-2591,9,12,Yes,No,No,Yes,19,3,6.3,0.84,0.05,0,0,0.53,0,0,0.42,5.2
